,Город,Федеральный округ,lat,lng
39,Арсеньев,Дальневосточный,"44,162084","133,269726"
41,Артём,Дальневосточный,"43,354804","132,18563"
116,БольшойКамень,Дальневосточный,"53,443097","36,005087"
159,Владивосток,Дальневосточный,"43,115536","131,885485"
230,Дальнегорск,Дальневосточный,"44,554018","135,566179"
231,Дальнереченск,Дальневосточный,"45,93085","133,731738"
509,Лесозаводск,Дальневосточный,"45,477955","133,418594"
608,Находка,Дальневосточный,"42,824037","132,892811"
714,Партизанск,Дальневосточный,"43,119813","133,123246"
877,Спасск-Дальний,Дальневосточный,"44,597641","132,817559"
975,Уссурийск,Дальневосточный,"43,797273","131,95178"
988,Фокино,Дальневосточный,"53,455436","34,415923"
